sample,pop,leaf_length,leaf_width,upper_leaf_angle,leaf_angle_boxcox_transformed
Z002E0186,2,663.7725,102.5106,49.6279,3043372.285
Z002E0187,2,730.0522,106.7114,71.5093,14063394.89
Z002E0188,2,707.3053,105.5796,59.7994,6647335.206
Z002E0189,2,689.5117,99.8751,58.1127,5896303.943
Z002E0190,2,791.7366,92.5251,73.1888,15500196.18
Z002E0191,2,772.8449,95.1627,62.6821,8097024.201
Z002E0192,2,819.9847,97.4768,77.275,19462774.78
Z002E0193,2,587.7807,94.9093,68.5991,11816257.35
Z002E0194,2,767.0441,90.1885,65.6243,9812982.346
Z002E0195,2,773.7845,78.9203,71.2558,13855667.25
Z002E0196,2,732.5332,84.0143,57.1659,5504098.851
Z002E0197,2,767.6594,87.1787,55.8208,4981433.959
Z002E0198,2,823.2737,81.7187,67.4408,11002458
Z002E0199,2,689.9979,87.6319,61.7453,7601904.56
Z002E0200,2,763.963,83.401,51.4321,3534595.836
Z003E0001,3,838.3931,103.3034,68.2709,11581169.73
Z003E0002,3,911.3644,111.6075,73.9289,16167661.38
Z003E0003,3,881.9776,102.6444,68.1801,11516763.73
Z003E0004,3,812.9602,102.2391,77.014,19188799.74
Z003E0006,3,863.8296,105.1702,75.4275,17586022.96
Z003E0007,3,796.7382,99.6794,73.9397,16177560.65
Z003E0008,3,800.3249,92.0501,58.3383,5992816.033
Z003E0009,3,809.1165,93.038,69.3817,12391490.07
Z003E0010,3,711.6242,108.5364,70.761,13456946.11
Z003E0011,3,834.6264,93.0632,76.397,18552802.33
Z003E0012,3,840.9445,94.8364,70.6876,13398551.19
Z003E0013,3,843.4277,109.8854,72.8683,15217752.96
Z003E0014,3,806.6628,96.1304,64.5639,9165474.366
Z003E0016,3,767.2414,78.9188,58.3895,6014885.926
Z003E0017,3,837.7283,87.5181,75.6065,17761564.47
Z003E0018,3,849.4678,99.2811,80.2437,22793344.99
Z003E0019,3,821.0181,109.23,61.5615,7507531.823
Z003E0020,3,774.414,100.1228,73.6884,15948411.67
Z003E0021,3,798.4942,94.4739,67.0818,10759115.73
Z003E0022,3,850.5554,92.5782,71.3041,13895064.78
Z003E0023,3,882.2648,84.5346,76.7564,18921282.73
Z003E0024,3,865.042,102.6098,70.4093,13178894.33
Z003E0026,3,797.096,96.6206,73.4393,15723715.97
Z003E0027,3,750.5246,103.8629,76.4495,18606285.08
Z003E0028,3,870.3609,111.6604,69.2225,12272782.9
Z003E0029,3,902.4903,92.1525,70.0464,12896595.43
Z003E0030,3,890.8964,97.913,67.12,10784812.29
Z003E0031,3,809.1768,86.7433,73.4737,15754601.47
Z003E0032,3,815.9519,94.3098,75.6504,17804819.24
Z003E0033,3,919.5349,99.6464,73.6154,15882311.9
Z003E0034,3,840.8661,89.7297,70.0756,12919138.13
Z003E0035,3,802.4471,109.5122,59.166,6357246.406
Z003E0036,3,845.2268,96.6346,67.6512,11147008.2
Z003E0037,3,771.8953,106.5165,63.1906,8375851.206
Z003E0038,3,897.6275,115.3627,67.1225,10786495.62
Z003E0039,3,824.006,88.0199,75.7774,17930404.32
Z003E0040,3,750.6983,80.6401,73.3519,15645452.57
Z003E0041,3,881.2065,94.2785,70.9748,13628143.88
Z003E0042,3,813.1641,97.8657,68.9309,12057599.23
Z003E0043,3,729.5069,90.2307,72.4601,14863716.68
Z003E0044,3,779.8463,112.482,66.8415,10598536.81
Z003E0045,3,873.8243,94.9712,75.5916,17746901.67
Z003E0046,3,837.7679,96.3026,77.4729,19672490.27
Z003E0047,3,808.0302,86.7762,72.7313,15098223.5
Z003E0048,3,843.5584,89.865,65.4945,9731907.574
Z003E0049,3,884.8055,106.8088,69.1238,12199623.49
Z003E0050,3,847.5089,95.9215,69.0019,12109726.37
Z003E0051,3,866.0309,113.7156,71.8869,14377201.11
Z003E0052,3,842.172,91.6857,71.5398,14088546.63
Z003E0053,3,783.3538,101.1822,64.3009,9010041.33
Z003E0054,3,852.6967,86.9323,78.0083,20248484.75
Z003E0055,3,908.9751,101.249,69.381,12390966.21
Z003E0056,3,845.5668,89.7299,74.6374,16826915.3
Z003E0057,3,887.4672,90.0864,72.1129,14567552.31
Z003E0058,3,817.4133,100.0584,70.3705,13148489.4
Z003E0059,3,820.8572,98.5049,73.1559,15471020.42
Z003E0061,3,829.7756,95.2035,72.8677,15217227.91
Z003E0062,3,798.7726,98.777,72.0885,14546909.24
Z003E0063,3,892.6211,98.8376,71.9868,14461108.04
Z003E0065,3,900.407,107.5667,71.2877,13881678.01
Z003E0066,3,808.7083,81.524,69.228,12276869.47
Z003E0067,3,794.7277,91.1728,70.9721,13625971.6
Z003E0068,3,830.4503,97.8575,73.5858,15855569.32
Z003E0069,3,826.4383,94.8664,61.8042,7632337.207
Z003E0070,3,872.498,100.2974,65.9099,9993181.902
Z003E0071,3,844.7193,115.0461,73.6957,15955033.15
Z003E0072,3,888.1805,91.0903,72.8681,15217577.94
Z003E0073,3,854.2943,80.4865,70.1173,12951382.96
Z003E0074,3,806.1676,111.0172,70.4989,13249312.32
Z003E0075,3,823.4584,103.267,68.2578,11571860.79
Z003E0076,3,829.6408,103.1799,55.6079,4902304.856
Z003E0077,3,704.2596,116.7141,71.396,13970261.6
